embeddings	lexico	size_emo_emb	accuracy	precision	recall	f1_score
glove		300	0.678221 (0.0059)	0.679270 (0.0060)	0.680299 (0.0061)	0.679313 (0.0057)
word2vec		300	0.674421 (0.0070)	0.676248 (0.0075)	0.677547 (0.0067)	0.676411 (0.0071)
ewe		300	0.670714 (0.0059)	0.673168 (0.0059)	0.673591 (0.0058)	0.672785 (0.0060)
sawe		300	0.672196 (0.0041)	0.673295 (0.0036)	0.673907 (0.0039)	0.672928 (0.0039)
