rbf
0.0001|0.1|0.4217|0.3421
0.0001|0.1|0.4217|0.3421
0.0001|1|0.4227|0.3438
0.0001|10|0.4227|0.3437
0.0001|100|0.4232|0.3438
0.001|0.1|0.4217|0.3421
0.001|1|0.4242|0.3431
0.001|10|0.4242|0.3431
0.001|100|0.4242|0.3431
0.01|0.1|0.4217|0.3421
0.01|1|0.4242|0.3430
0.01|10|0.4242|0.3430
0.01|100|0.4242|0.3430
0.1|0.1|0.4217|0.3421
0.1|1|0.4242|0.3430
0.1|10|0.4242|0.3430
0.1|100|0.4242|0.3430
1|0.1|0.4217|0.3421
1|1|0.4242|0.3430
1|10|0.4242|0.3430
1|100|0.4242|0.3430
10|0.1|0.4217|0.3421
10|1|0.4242|0.3430
10|10|0.4242|0.3430
10|100|0.4242|0.3430
poly
