run	embeddings	accuracy	precision	recall	f1_score
3	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.826484	0.859882	0.910937	0.884674
4	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.824772	0.854334	0.916406	0.884282
5	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.824772	0.875096	0.886719	0.880869
6	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.817922	0.881047	0.867969	0.874459
7	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.826484	0.862018	0.907813	0.884323
8	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.820205	0.881423	0.871094	0.876228
9	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.828196	0.874522	0.892969	0.883649
10	sent_emb_glove_full_dot_product_hstack_plus_bias_pca_full_matrix	0.816210	0.860150	0.893750	0.876628
1	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.791096	0.878311	0.828906	0.852894
2	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.803082	0.864380	0.866406	0.865392
3	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.799087	0.863067	0.861719	0.862392
4	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.790525	0.875720	0.831250	0.852906
5	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.789384	0.870627	0.835938	0.852929
6	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.796804	0.861502	0.860156	0.860829
7	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.799658	0.858134	0.869531	0.863795
8	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.794521	0.852221	0.869531	0.860789
9	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.787671	0.862041	0.844531	0.853197
10	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca	0.791096	0.866186	0.844531	0.855222
1	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.818493	0.888530	0.859375	0.873709
2	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.825913	0.891566	0.867188	0.879208
3	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.823630	0.891848	0.863281	0.877332
4	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.817352	0.873250	0.877344	0.875292
5	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.819064	0.865049	0.891406	0.878030
6	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.801370	0.894915	0.825000	0.858537
7	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.812785	0.860061	0.888281	0.873943
8	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.804795	0.873408	0.857031	0.865142
9	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.804795	0.875200	0.854688	0.864822
10	sent_emb_glove_full_dot_product_hstack_plus_bias_tanh_pca_full_matrix	0.803653	0.865625	0.865625	0.865625
1	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.808790	0.850780	0.895312	0.872478
2	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.797374	0.856043	0.868750	0.862350
3	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.803653	0.863354	0.868750	0.866044
4	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.799087	0.860248	0.865625	0.862928
5	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.807078	0.839827	0.909375	0.873218
6	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.803082	0.858787	0.874219	0.866434
7	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.804224	0.861218	0.872656	0.866899
8	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.789384	0.857816	0.853125	0.855464
9	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.801370	0.842144	0.896094	0.868282
10	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca	0.788813	0.854914	0.856250	0.855582
1	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.820776	0.887640	0.864062	0.875693
2	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.822489	0.881797	0.874219	0.877991
3	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.821347	0.881009	0.873437	0.877207
4	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.822489	0.877631	0.879687	0.878658
5	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.826484	0.869138	0.897656	0.883167
6	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.822489	0.887910	0.866406	0.877026
7	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.818493	0.891057	0.856250	0.873307
8	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.821347	0.878030	0.877344	0.877687
9	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.821347	0.871067	0.886719	0.878823
10	sent_emb_glove_full_dot_product_hstack_plus_bias_relu_pca_full_matrix	0.819635	0.874806	0.878906	0.876851
1	sent_emb_glove_full_mms_dot_product_hstack_pca	0.805365	0.843453	0.900781	0.871175
2	sent_emb_glove_full_mms_dot_product_hstack_pca	0.812215	0.849890	0.902344	0.875332
3	sent_emb_glove_full_mms_dot_product_hstack_pca	0.811073	0.839656	0.916406	0.876354
4	sent_emb_glove_full_mms_dot_product_hstack_pca	0.801370	0.855183	0.876563	0.865741
5	sent_emb_glove_full_mms_dot_product_hstack_pca	0.811073	0.862490	0.882031	0.872151
6	sent_emb_glove_full_mms_dot_product_hstack_pca	0.788242	0.875931	0.827344	0.850944
7	sent_emb_glove_full_mms_dot_product_hstack_pca	0.799658	0.854851	0.874219	0.864426
8	sent_emb_glove_full_mms_dot_product_hstack_pca	0.800799	0.871508	0.853125	0.862219
9	sent_emb_glove_full_mms_dot_product_hstack_pca	0.793379	0.874388	0.837500	0.855547
